Race Type,Gender,Bib,Name,Nationality Flag,Gun Time,Rank,Gender Rank,Chip Time,Speed (Km/Hr),Pace (min/km),Distance Covered
10KM RUN,#1_Female,6081,91fc9155-bcbf-4ea9-b2e3-e52f43b7d74b,[img:flags/SA.gif],00:42:59.556,46 / 2293,1 / 762,00:42:57.505,13.9 Km/Hr,4:17 min/km,10 KM
10KM RUN,#1_Female,5134,3f5d289c-52df-4d0a-a9f6-3748ca45772a,[img:flags/CZ.gif],00:43:28.175,53 / 2293,2 / 762,00:43:24.774,13.8 Km/Hr,4:20 min/km,10 KM
10KM RUN,#1_Female,5685,db4ae93d-9e73-4cb2-a6dd-ea8369453190,[img:flags/SA.gif],00:44:00.251,55 / 2293,3 / 762,00:43:56.317,13.6 Km/Hr,4:23 min/km,10 KM
10KM RUN,#1_Female,5189,17d62c5c-6984-48b7-bf48-583f534587b1,[img:flags/MA.gif],00:48:28.115,88 / 2293,4 / 762,00:48:22.908,12.4 Km/Hr,4:50 min/km,10 KM
10KM RUN,#1_Female,8521,4ccefa8a-a501-40e9-8252-ad70f3409ca9,[img:flags/SA.gif],00:58:37.753,93 / 2293,5 / 762,00:48:27.714,12.3 Km/Hr,4:50 min/km,10 KM
10KM RUN,#1_Female,8181,b6e605db-1ce6-479c-a779-a68436f25524,[img:flags/GB.gif],00:58:35.135,116 / 2293,6 / 762,00:49:58.260,12.0 Km/Hr,4:59 min/km,10 KM
10KM RUN,#1_Female,6938,c129deca-ec51-4356-97ee-001805e6581b,,00:51:21.156,130 / 2293,7 / 762,00:51:09.616,11.7 Km/Hr,5:06 min/km,10 KM
10KM RUN,#1_Female,5868,5f761423-4808-4c50-8f4e-75be30837f87,[img:flags/CN.gif],00:53:20.321,135 / 2293,8 / 762,00:51:24.245,11.6 Km/Hr,5:08 min/km,10 KM
10KM RUN,#1_Female,6807,883bbe1b-d59d-4953-817d-c72bb1e33b15,[img:flags/BH.gif],00:54:16.831,148 / 2293,9 / 762,00:52:06.101,11.5 Km/Hr,5:12 min/km,10 KM
10KM RUN,#1_Female,6438,d4818d43-c161-4eb7-8daa-889f2a22c6da,[img:flags/FR.gif],00:54:20.530,161 / 2293,10 / 762,00:52:47.669,11.3 Km/Hr,5:16 min/km,10 KM
10KM RUN,#1_Female,8435,60be4b83-e8f3-47f9-ad71-efeb45fe4141,[img:flags/TN.gif],00:53:20.711,169 / 2293,11 / 762,00:53:10.452,11.2 Km/Hr,5:19 min/km,10 KM
10KM RUN,#1_Female,7392,ba6e11e5-4495-4260-80ba-72c010444d89,[img:flags/SA.gif],00:53:44.769,183 / 2293,12 / 762,00:53:38.192,11.1 Km/Hr,5:21 min/km,10 KM
10KM RUN,#1_Female,7476,d365f30d-514b-4573-b26e-59ede11ee04f,[img:flags/SA.gif],00:54:15.891,193 / 2293,13 / 762,00:54:05.832,11.0 Km/Hr,5:24 min/km,10 KM
10KM RUN,#1_Female,6987,75cceaee-535a-4deb-ae52-02a9bb07011b,[img:flags/PH.gif],00:56:30.663,260 / 2293,14 / 762,00:56:29.664,10.6 Km/Hr,5:38 min/km,10 KM
10KM RUN,#1_Female,7285,c03ec638-5ff9-4332-81cd-b7d98d03b06e,[img:flags/SA.gif],00:58:39.054,262 / 2293,15 / 762,00:56:37.235,10.5 Km/Hr,5:39 min/km,10 KM
10KM RUN,#1_Female,6323,e77a8f35-5f8e-4960-8051-50eca85e3295,[img:flags/GB.gif],00:57:41.684,268 / 2293,16 / 762,00:56:50.147,10.5 Km/Hr,5:41 min/km,10 KM
10KM RUN,#1_Female,6063,2d1b0d7b-c7ac-4772-974f-ad11f9916d47,[img:flags/DE.gif],00:57:56.611,273 / 2293,17 / 762,00:57:00.237,10.5 Km/Hr,5:42 min/km,10 KM
