Race Type,Gender,Bib,Name,Nationality Flag,Gun Time,Rank,Gender Rank,Chip Time,Speed (Km/Hr),Pace (min/km)
MARATHON ELITE,Female,51,00ae6b0d-017d-4497-803f-92378d801c62,[img:flags/ET.gif],02:27:19.582,10 / 18,1 / 9,02:27:19.582,17.1 Km/Hr,3:29 min/km
MARATHON ELITE,Female,59,81b83bbc-7e22-4219-a351-5b1ed8b19609,[img:flags/ET.gif],02:27:48.422,11 / 18,2 / 9,02:27:48.022,17.1 Km/Hr,3:30 min/km
MARATHON ELITE,Female,64,8c70c7c1-f933-4f81-adbc-d02dc01348e6,[img:flags/ET.gif],02:28:44.035,12 / 18,3 / 9,02:28:43.357,17.0 Km/Hr,3:31 min/km
MARATHON ELITE,Female,60,d87ca0a9-7657-43d1-8389-e57e8b975952,[img:flags/ET.gif],02:29:21.107,13 / 18,4 / 9,02:29:20.048,16.9 Km/Hr,3:32 min/km
MARATHON ELITE,Female,63,be2d9a79-b21f-4404-a4c1-f81df15ef70b,[img:flags/KE.gif],02:29:52.317,14 / 18,5 / 9,02:29:51.716,16.8 Km/Hr,3:33 min/km
MARATHON ELITE,Female,62,cd7b1abd-88d4-4882-b091-e7f3baa6328a,[img:flags/ET.gif],02:30:54.880,15 / 18,6 / 9,02:30:54.483,16.7 Km/Hr,3:34 min/km
MARATHON ELITE,Female,56,b0e26f16-7805-4e34-81f9-fa2aba55ee00,[img:flags/ET.gif],02:32:51.461,16 / 18,7 / 9,02:32:50.499,16.5 Km/Hr,3:37 min/km
MARATHON ELITE,Female,55,8cd66ab2-a03f-4c86-91be-f9a38ecb8713,[img:flags/ET.gif],02:33:19.059,17 / 18,8 / 9,02:33:18.580,16.5 Km/Hr,3:37 min/km
MARATHON ELITE,Female,57,ea8a2976-c3e6-4e7d-9c97-4c8b442de100,[img:flags/ET.gif],02:35:39.251,18 / 18,9 / 9,02:35:38.393,16.2 Km/Hr,3:41 min/km
MARATHON ELITE,Female,53,910be379-3def-476b-bbd5-12395fc1d1c6,[img:flags/ET.gif],,DNF,DNF,,,
MARATHON ELITE,Female,61,fb58be6a-3243-4fb8-b8b9-df5822b6fd4a,[img:flags/KE.gif],,DNF,DNF,,,
MARATHON ELITE,Female,52,1d9eabcb-8c18-4d30-b391-73b1d20649d6,[img:flags/ET.gif],,DNF,DNF,,,
MARATHON ELITE,Male,5,ae9760bb-031f-426f-b39a-64064ed12e6f,[img:flags/KE.gif],02:08:38.519,1 / 18,1 / 9,02:08:37.576,19.6 Km/Hr,3:02 min/km
MARATHON ELITE,Male,6,a450d8bb-a358-4e22-8a0f-b3617899011c,[img:flags/ET.gif],02:08:50.985,2 / 18,2 / 9,02:08:50.229,19.6 Km/Hr,3:03 min/km
MARATHON ELITE,Male,13,7bff8a12-a38f-460b-96e5-49a0a5c9ccc3,[img:flags/MA.gif],02:10:37.352,3 / 18,3 / 9,02:10:37.135,19.3 Km/Hr,3:05 min/km
MARATHON ELITE,Male,11,50130b7e-5121-4da7-b56e-f7068abee8fb,[img:flags/KE.gif],02:11:05.207,4 / 18,4 / 9,02:11:04.217,19.3 Km/Hr,3:06 min/km
